country,total_co2,co2_per_capita,total_methane,methane_per_capita
Qatar,91.97 m t,31.38 t,21.45 m t,7.32 t
Bahrain,33.26 m t,19.02 t,17.41 m t,9.96 t
Kuwait,92.65 m t,21.40 t,24.71 m t,5.71 t
Turkmenistan,72.87 m t,11.91 t,80.48 m t,13.15 t
United Arab Emirates,188.86 m t,18.90 t,49.80 m t,4.98 t
Grenada,"330,000.00 t",2.92 t,2.04 m t,18.05 t
New Caledonia,5.33 m t,19.54 t,"214,726.32 t",0.79 t
Australia,386.53 m t,15.02 t,126.07 m t,4.90 t
Brunei,6.99 m t,15.83 t,1.59 m t,3.60 t
Gibraltar,"634,391.00 t",18.83 t,"6,604.06 t",0.20 t
Saudi Arabia,523.78 m t,14.82 t,110.25 m t,3.12 t
Canada,580.21 m t,15.17 t,101.70 m t,2.66 t
United States,4.82 bn t,14.52 t,744.51 m t,2.24 t
Russia,1.70 bn t,11.88 t,684.30 m t,4.77 t
Luxembourg,9.49 m t,14.85 t,"560,000.00 t",0.88 t
Kazakhstan,212.11 m t,11.16 t,48.89 m t,2.57 t
New Zealand,34.01 m t,6.64 t,32.52 m t,6.35 t
South Korea,610.79 m t,11.80 t,22.70 m t,0.44 t
Ireland,35.75 m t,7.11 t,15.46 m t,3.07 t
Czechia,96.29 m t,9.00 t,12.44 m t,1.16 t
Bermuda,"612,389.00 t",9.59 t,"30,959.96 t",0.48 t
Iran,630.01 m t,7.41 t,213.68 m t,2.51 t
Singapore,47.38 m t,8.69 t,4.25 m t,0.78 t
Netherlands,146.34 m t,8.35 t,15.54 m t,0.89 t
Malaysia,253.27 m t,7.73 t,36.81 m t,1.12 t
Japan,1.08 bn t,8.61 t,27.38 m t,0.22 t
Belgium,93.01 m t,8.03 t,8.08 m t,0.70 t
South Africa,439.64 m t,7.32 t,80.13 m t,1.33 t
Poland,295.13 m t,7.81 t,29.00 m t,0.77 t
Germany,657.40 m t,7.91 t,48.71 m t,0.59 t
Estonia,10.18 m t,7.66 t,1.11 m t,0.84 t
China,10.71 bn t,7.58 t,1.18 bn t,0.83 t
Serbia,45.95 m t,6.71 t,11.54 m t,1.69 t
Finland,40.71 m t,7.35 t,4.64 m t,0.84 t
Venezuela,112.34 m t,3.91 t,119.24 m t,4.15 t
Austria,64.77 m t,7.23 t,6.92 m t,0.77 t
Israel,62.65 m t,6.69 t,9.74 m t,1.04 t
Equatorial Guinea,5.35 m t,3.69 t,5.67 m t,3.91 t
