,X,Y
1,18,20
2,419,20
3,559,26
4,230,34
5,596,176
6,158,94
7,519,76
8,470,27
9,374,183
10,691,198
11,637,87
12,21,72
13,495,125
14,280,96
15,158,119
16,190,66
17,441,118
18,201,32
19,423,155
20,40,123
21,502,93
22,627,135
23,480,147
24,166,21
25,652,66
26,601,191
27,693,183
28,659,37
29,367,67
30,122,165
31,5,161
32,473,24
33,38,86
34,394,170
35,368,101
36,244,25
37,168,71
38,304,39
39,607,150
40,482,32
41,670,105
42,355,136
43,106,198
44,135,104
45,119,137
46,459,72
47,321,168
48,652,43
49,297,66
50,101,137
51,447,134
52,466,82
53,619,112
54,381,53
55,385,71
56,688,113
57,72,111
58,38,155
59,481,23
60,69,35
61,220,23
62,547,158
63,338,15
64,636,74
65,120,53
66,470,158
67,499,165
68,540,186
69,246,123
70,347,137
71,246,118
72,317,128
73,167,122
74,363,123
75,82,169
76,564,27
77,391,191
78,195,21
79,179,152
80,459,83
81,70,166
82,663,114
83,456,196
84,668,58
85,693,172
86,57,31
87,114,42
88,482,141
89,614,123
90,409,73
91,328,24
92,197,62
93,329,166
94,86,85
95,620,132
96,60,127
97,129,29
98,447,73
99,507,55
100,396,25
101,454,20
102,549,77
103,452,149
104,656,113
105,373,188
106,383,65
107,417,29
108,284,168
109,689,166
110,408,108
111,591,146
112,316,165
113,359,119
114,518,91
115,483,191
116,590,103
117,261,37
118,13,60
119,190,98
120,7,136
121,389,48
122,217,128
123,257,99
124,475,169
125,404,186
126,233,135
127,442,51
128,46,143
129,450,103
130,12,23
131,456,15
132,401,106
133,418,188
134,472,174
135,439,176
136,210,39
137,283,164
138,540,94
139,452,179
140,246,23
141,55,108
142,326,31
143,184,196
144,89,113
145,313,102
146,538,39
147,643,153
148,199,89
149,566,18
150,427,133
151,366,181
152,173,108
153,121,99
154,230,162
155,447,55
156,629,79
157,553,101
158,190,81
159,220,109
160,118,34
161,498,143
162,366,182
163,267,69
164,495,62
165,277,137
166,602,161
167,329,187
168,640,140
169,400,90
170,34,84
171,556,136
172,100,23
173,240,105
174,401,178
175,127,62
176,62,178
177,241,164
178,217,145
179,280,158
180,304,196
181,431,98
182,29,155
183,305,34
184,508,197
185,272,159
186,292,123
187,269,114
188,692,111
189,100,192
190,464,169
191,152,93
192,31,90
193,120,107
194,147,80
195,444,190
196,23,152
197,54,112
